RunId,Episode,Mode,RobotCount,PanicState,Seed,Termination,InitialHumans,Escaped,Deaths,AliveAtEnd,EpisodeTime,EscapedHealthSum,AliveHealthSum,FinalSurvivorHealthSum,SuccessRate,AvgEscapedHealthAll,AvgFinalHealthAll
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,1,Case1_RobotScaling_robots5_panic-1,5,-1,204201,timeout,50,42,0,8,150.0152,2697.088,655.5801,3352.668,84,53.9418,67.0534
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,2,Case1_RobotScaling_robots5_panic-1,5,-1,204202,timeout,50,28,0,22,150.0152,2240.92,1979.046,4219.966,56,44.8184,84.3993
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,3,Case1_RobotScaling_robots5_panic-1,5,-1,204203,timeout,50,40,2,8,150.0152,2842.014,584.074,3426.088,80,56.8403,68.5218
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,4,Case1_RobotScaling_robots5_panic-1,5,-1,204204,timeout,50,34,4,12,150.0152,2658.264,1128.313,3786.577,68,53.1653,75.7315
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,5,Case1_RobotScaling_robots5_panic-1,5,-1,204205,timeout,50,35,4,11,150.0152,3019.897,943.8652,3963.762,70,60.398,79.2753
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,6,Case1_RobotScaling_robots5_panic-1,5,-1,204206,timeout,50,24,5,21,150.0152,1801.847,1959.235,3761.082,48,36.0369,75.2216
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,7,Case1_RobotScaling_robots5_panic-1,5,-1,204207,timeout,50,37,0,13,150.0152,3057.78,1223.683,4281.464,74,61.1556,85.6293
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,8,Case1_RobotScaling_robots5_panic-1,5,-1,204208,timeout,50,24,3,23,150.0152,1999.972,1712.663,3712.636,48,39.9995,74.2527
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,9,Case1_RobotScaling_robots5_panic-1,5,-1,204209,timeout,50,34,2,14,150.0152,2437.838,1030.624,3468.462,68,48.7568,69.3692
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,10,Case1_RobotScaling_robots5_panic-1,5,-1,204210,timeout,50,37,0,13,150.0152,2851.625,1268.833,4120.458,74,57.0325,82.4092
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,11,Case1_RobotScaling_robots5_panic-1,5,-1,204211,timeout,50,22,6,22,150.0152,1582.747,2058.038,3640.785,44,31.6549,72.8157
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,12,Case1_RobotScaling_robots5_panic-1,5,-1,204212,timeout,50,15,0,35,150.0152,1299.942,2515.657,3815.598,30,25.9988,76.312
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,13,Case1_RobotScaling_robots5_panic-1,5,-1,204213,timeout,50,40,0,10,150.0152,2593.947,968.0421,3561.989,80,51.8789,71.2398
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,14,Case1_RobotScaling_robots5_panic-1,5,-1,204214,timeout,50,34,0,16,150.0152,2642.157,1514.56,4156.717,68,52.8431,83.1343
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,15,Case1_RobotScaling_robots5_panic-1,5,-1,204215,timeout,50,26,1,23,150.0152,1802.496,1633.987,3436.483,52,36.0499,68.7297
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,16,Case1_RobotScaling_robots5_panic-1,5,-1,204216,timeout,50,26,2,22,150.0152,2063.222,1955.81,4019.032,52,41.2645,80.3806
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,17,Case1_RobotScaling_robots5_panic-1,5,-1,204217,timeout,50,38,2,10,150.0152,2618.079,732.4077,3350.487,76,52.3616,67.0097
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,18,Case1_RobotScaling_robots5_panic-1,5,-1,204218,timeout,50,19,0,31,150.0152,1653.02,2496.504,4149.524,38,33.0604,82.9905
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,19,Case1_RobotScaling_robots5_panic-1,5,-1,204219,timeout,50,21,0,29,150.0152,1834.98,1985.338,3820.317,42,36.6996,76.4064
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,20,Case1_RobotScaling_robots5_panic-1,5,-1,204220,timeout,50,18,1,31,150.0152,1611.356,2040.026,3651.382,36,32.2271,73.0276
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,21,Case1_RobotScaling_robots5_panic-1,5,-1,204221,timeout,50,20,2,28,150.0152,1732.111,2500.83,4232.941,40,34.6422,84.6588
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,22,Case1_RobotScaling_robots5_panic-1,5,-1,204222,timeout,50,36,2,12,150.0152,2252.319,1155.295,3407.614,72,45.0464,68.1523
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,23,Case1_RobotScaling_robots5_panic-1,5,-1,204223,timeout,50,28,3,19,150.0152,2164.931,1155.23,3320.161,56,43.2986,66.4032
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,24,Case1_RobotScaling_robots5_panic-1,5,-1,204224,timeout,50,12,2,36,150.0152,1048.95,3444.816,4493.766,24,20.979,89.8753
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,25,Case1_RobotScaling_robots5_panic-1,5,-1,204225,timeout,50,15,0,35,150.0152,1308.669,2875.428,4184.097,30,26.1734,83.6819
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,26,Case1_RobotScaling_robots5_panic-1,5,-1,204226,timeout,50,12,4,34,150.0152,1073.301,2427.896,3501.196,24,21.466,70.0239
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,27,Case1_RobotScaling_robots5_panic-1,5,-1,204227,timeout,50,21,1,28,150.0152,1808.929,2723.459,4532.388,42,36.1786,90.6478
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,28,Case1_RobotScaling_robots5_panic-1,5,-1,204228,timeout,50,26,1,23,150.0152,2139.002,1805.191,3944.193,52,42.78,78.8839
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,29,Case1_RobotScaling_robots5_panic-1,5,-1,204229,timeout,50,31,2,17,150.0152,2413.676,1382.828,3796.504,62,48.2735,75.9301
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,30,Case1_RobotScaling_robots5_panic-1,5,-1,204230,timeout,50,45,1,4,150.0152,3483.096,359.762,3842.858,90,69.6619,76.8572
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,31,Case1_RobotScaling_robots5_panic-1,5,-1,204231,timeout,50,18,0,32,150.0152,1565.292,2536.948,4102.24,36,31.3058,82.0448
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,32,Case1_RobotScaling_robots5_panic-1,5,-1,204232,timeout,50,27,4,19,150.0152,2151.992,1138.515,3290.508,54,43.0398,65.8102
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,33,Case1_RobotScaling_robots5_panic-1,5,-1,204233,timeout,50,34,0,16,150.0152,2471.42,1084.063,3555.484,68,49.4284,71.1097
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,34,Case1_RobotScaling_robots5_panic-1,5,-1,204234,timeout,50,28,2,20,150.0152,2292.349,1731.874,4024.222,56,45.847,80.4844
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,35,Case1_RobotScaling_robots5_panic-1,5,-1,204235,timeout,50,19,3,28,150.0152,1671.974,1941.239,3613.213,38,33.4395,72.2643
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,36,Case1_RobotScaling_robots5_panic-1,5,-1,204236,timeout,50,27,0,23,150.0152,2271.385,2214.26,4485.646,54,45.4277,89.7129
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,37,Case1_RobotScaling_robots5_panic-1,5,-1,204237,timeout,50,30,0,20,150.0152,2462.46,1750.024,4212.484,60,49.2492,84.2497
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,38,Case1_RobotScaling_robots5_panic-1,5,-1,204238,timeout,50,20,2,28,150.0152,1660.647,2315.61,3976.257,40,33.213,79.5251
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,39,Case1_RobotScaling_robots5_panic-1,5,-1,204239,timeout,50,23,6,21,150.0152,1293.763,1237.779,2531.542,46,25.8753,50.6309
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,40,Case1_RobotScaling_robots5_panic-1,5,-1,204240,timeout,50,41,0,9,150.0152,2490.807,759.1182,3249.925,82,49.8161,64.9985
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,41,Case1_RobotScaling_robots5_panic-1,5,-1,204241,timeout,50,16,6,28,150.0152,1371.923,2494.124,3866.047,32,27.4385,77.321
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,42,Case1_RobotScaling_robots5_panic-1,5,-1,204242,timeout,50,18,4,28,150.0152,1082.863,1737.113,2819.976,36,21.6573,56.3995
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,43,Case1_RobotScaling_robots5_panic-1,5,-1,204243,timeout,50,18,1,31,150.0152,1459.172,2795.458,4254.63,36,29.1834,85.0926
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,44,Case1_RobotScaling_robots5_panic-1,5,-1,204244,timeout,50,33,3,14,150.0152,2721.381,1360.386,4081.768,66,54.4276,81.6354
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,45,Case1_RobotScaling_robots5_panic-1,5,-1,204245,timeout,50,44,1,5,150.0152,3483.629,498.4971,3982.126,88,69.6726,79.6425
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,46,Case1_RobotScaling_robots5_panic-1,5,-1,204246,timeout,50,19,3,28,150.0152,1592.48,2473.258,4065.738,38,31.8496,81.3148
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,47,Case1_RobotScaling_robots5_panic-1,5,-1,204247,timeout,50,29,0,21,150.0152,2368.894,1818.078,4186.972,58,47.3779,83.7394
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,48,Case1_RobotScaling_robots5_panic-1,5,-1,204248,timeout,50,13,2,35,150.0152,1138.18,2469.274,3607.454,26,22.7636,72.1491
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,49,Case1_RobotScaling_robots5_panic-1,5,-1,204249,timeout,50,16,1,33,150.0152,1414.89,2845.101,4259.992,32,28.2978,85.1998
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,50,Case1_RobotScaling_robots5_panic-1,5,-1,204250,timeout,50,24,0,26,150.0152,1959.755,1665.164,3624.919,48,39.1951,72.4984
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r5_seed204201_ep100_formal_r5_seed204201,51,Case1_RobotScaling_robots5_panic-1,5,-1,204251,timeout,50,31,3,16,150.0152,2104.263,1210.972,3315.234,62,42.0853,66.3047
