RobotCount,Seed,Episodes,InitialHumans,Escaped,Deaths,SuccessRate,AvgEpisodeTime,AvgEscapedHealthAll,AvgFinalHealthAll,AvgDeathsPerEpisode,TimeoutRate
1,204101,100,5000,1503,527,30.0600,150.0154,19.0724,60.5017,5.2700,100.0000
1,204201,100,5000,1464,582,29.2800,150.0154,19.9260,61.4774,5.8200,100.0000
1,204301,100,5000,1650,548,33.0000,150.0154,20.4435,59.7941,5.4800,100.0000
2,204101,100,5000,1946,400,38.9200,150.0154,27.8748,67.3838,4.0000,100.0000
2,204201,100,5000,1984,448,39.6800,150.0154,28.2868,67.4936,4.4800,100.0000
2,204301,100,5000,1903,388,38.0600,150.0154,26.7970,67.2637,3.8800,100.0000
3,204101,100,5000,2232,239,44.6400,150.0154,32.8023,71.3803,2.3900,100.0000
3,204201,100,5000,2274,249,45.4800,150.0154,34.0774,72.9771,2.4900,100.0000
3,204301,100,5000,2169,269,43.3800,150.0154,33.0729,72.4911,2.6900,100.0000
4,204101,100,5000,2595,215,51.9000,150.0154,38.6425,73.3845,2.1500,100.0000
4,204201,100,5000,2405,200,48.1000,150.0154,36.2601,74.8950,2.0000,100.0000
4,204301,100,5000,2623,192,52.4600,149.4300,37.5380,73.2030,1.9200,99.0000
5,204101,100,5000,2660,164,53.2000,150.0154,40.5665,76.4183,1.6400,100.0000
5,204201,100,5000,2681,193,53.6200,150.0154,41.2888,75.2835,1.9300,100.0000
5,204301,100,5000,2753,183,55.0600,150.0154,42.2893,75.1859,1.8300,100.0000
