Episode,Time,EventType,HumanId,X,Z,Health,DirectLeaderId,TopLevelLeaderId
0,5.04,escape,HumanControl(Clone)_-17050,36.044,66.903,100.000,,
0,5.36,escape,HumanControl(Clone)_-17034,-22.867,26.248,100.000,,
0,5.70,escape,HumanControl(Clone)_-17066,36.000,66.967,99.726,,
0,8.70,escape,HumanControl(Clone)_-17082,-22.867,26.249,100.000,,
0,9.36,escape,HumanControl(Clone)_-16362,-22.865,26.584,100.000,,
0,10.36,escape,HumanControl(Clone)_-16938,36.570,66.967,98.801,,
0,10.70,escape,HumanControl(Clone)_-16394,35.327,66.964,98.345,,
0,11.04,escape,HumanControl(Clone)_-16922,36.017,66.967,95.709,,
0,27.36,escape,HumanControl(Clone)_-16426,36.100,66.967,90.618,,
0,28.36,escape,HumanControl(Clone)_-16714,36.333,66.851,88.950,,
0,29.04,escape,HumanControl(Clone)_-17002,36.033,66.967,81.901,,
0,29.04,escape,HumanControl(Clone)_-16346,35.503,66.590,85.265,,
0,29.70,escape,HumanControl(Clone)_-17114,35.704,66.905,94.047,,
0,30.04,escape,HumanControl(Clone)_-16442,36.488,66.746,74.341,,
0,30.04,escape,HumanControl(Clone)_-16778,35.855,66.937,88.778,,
0,30.36,escape,HumanControl(Clone)_-16410,35.954,66.967,83.858,,
0,30.74,escape,HumanControl(Clone)_-16490,35.303,66.867,79.107,,
0,31.04,escape,HumanControl(Clone)_-16858,36.028,66.967,91.147,,
0,31.36,escape,HumanControl(Clone)_-16954,35.501,66.964,89.499,,
0,32.04,escape,HumanControl(Clone)_-16522,36.539,66.928,90.781,,
0,32.04,escape,HumanControl(Clone)_-16506,35.864,66.967,89.459,,
0,33.36,escape,HumanControl(Clone)_-16730,36.020,66.967,89.668,,
0,35.04,escape,HumanControl(Clone)_-16874,35.974,66.882,90.355,,
0,56.04,escape,HumanControl(Clone)_-16810,35.996,66.967,71.904,,
0,56.70,escape,HumanControl(Clone)_-16458,36.165,66.967,74.205,,
0,57.70,escape,HumanControl(Clone)_-16474,35.829,66.940,73.778,,
0,60.04,escape,HumanControl(Clone)_-16890,36.000,66.967,83.871,,
0,61.04,escape,HumanControl(Clone)_-16378,35.826,66.905,79.016,,
0,61.36,escape,HumanControl(Clone)_-16906,35.998,66.967,72.961,,
0,92.22,death,HumanControl(Clone)_-16554,26.201,16.274,-0.006,HumanControl(Clone)_-16698,
0,108.35,escape,HumanControl(Clone)_-16970,36.173,66.941,27.413,,
0,108.69,escape,HumanControl(Clone)_-16842,36.003,66.967,27.412,,
0,109.63,death,HumanControl(Clone)_-16762,29.653,17.982,-0.003,HumanControl(Clone)_-16538,
0,117.53,death,HumanControl(Clone)_-17098,28.489,13.969,-0.039,HumanControl(Clone)_-16650,
0,121.19,death,HumanControl(Clone)_-16538,24.335,14.427,-0.074,HumanControl(Clone)_-16698,
0,124.69,death,HumanControl(Clone)_-17130,38.047,15.967,-0.007,HumanControl(Clone)_-16698,
0,125.73,death,HumanControl(Clone)_-16698,35.821,27.752,-0.015,HumanControl(Clone)_-16618,
0,126.31,death,HumanControl(Clone)_-16650,34.058,28.258,-0.022,HumanControl(Clone)_-16666,
0,129.87,death,HumanControl(Clone)_-16826,44.403,16.134,-0.066,HumanControl(Clone)_-16986,
0,130.49,death,HumanControl(Clone)_-16666,36.071,49.540,-0.008,HumanControl(Clone)_-16618,
0,133.35,escape,HumanControl(Clone)_-16794,35.993,66.967,10.774,,
0,134.03,escape,HumanControl(Clone)_-16618,35.913,66.967,32.701,,
0,134.69,escape,HumanControl(Clone)_-16634,36.025,66.967,21.289,,
0,135.03,escape,HumanControl(Clone)_-16602,35.915,66.967,1.425,,
0,135.03,escape,HumanControl(Clone)_-16746,36.079,66.967,15.116,,
0,135.25,death,HumanControl(Clone)_-16682,29.580,33.669,-0.033,HumanControl(Clone)_-16986,
0,137.19,death,HumanControl(Clone)_-17018,35.712,33.819,-0.033,HumanControl(Clone)_-16986,
0,143.35,escape,HumanControl(Clone)_-16986,35.998,66.967,2.451,,
