Episode,RobotID,Time,X,Z,FollowerCount
0,RobotControl(Clone)_-17146,0.50,-21.90,26.25,1
0,RobotControl(Clone)_-17146,1.00,-21.90,26.25,1
0,RobotControl(Clone)_-17146,1.50,-21.90,26.25,1
0,RobotControl(Clone)_-17146,2.00,-21.90,26.25,1
0,RobotControl(Clone)_-17146,2.50,-21.90,26.25,1
0,RobotControl(Clone)_-17146,3.00,-21.90,26.25,1
0,RobotControl(Clone)_-17146,3.50,-21.90,26.25,1
0,RobotControl(Clone)_-17146,4.00,-20.84,26.74,1
0,RobotControl(Clone)_-17146,4.50,-18.77,27.61,1
0,RobotControl(Clone)_-17146,5.00,-18.15,28.55,1
0,RobotControl(Clone)_-17146,5.50,-17.09,30.61,1
0,RobotControl(Clone)_-17146,6.00,-17.09,30.60,1
0,RobotControl(Clone)_-17146,6.50,-15.45,30.29,1
0,RobotControl(Clone)_-17146,7.00,-13.81,29.98,1
0,RobotControl(Clone)_-17146,7.50,-10.54,29.36,0
0,RobotControl(Clone)_-17146,8.00,-11.09,29.45,0
0,RobotControl(Clone)_-17146,8.50,-14.98,30.34,0
0,RobotControl(Clone)_-17146,9.00,-16.96,30.03,0
0,RobotControl(Clone)_-17146,9.50,-18.19,29.31,0
0,RobotControl(Clone)_-17146,10.00,-18.19,29.31,0
0,RobotControl(Clone)_-17146,10.50,-21.69,27.36,0
0,RobotControl(Clone)_-17146,11.00,-22.76,26.59,0
0,RobotControl(Clone)_-17146,11.50,-20.71,26.60,0
0,RobotControl(Clone)_-17146,12.00,-18.69,26.61,0
0,RobotControl(Clone)_-17146,12.50,-14.68,26.63,0
0,RobotControl(Clone)_-17146,13.00,-12.67,26.65,0
0,RobotControl(Clone)_-17146,13.50,-8.67,26.67,0
0,RobotControl(Clone)_-17146,14.00,-6.67,26.68,0
0,RobotControl(Clone)_-17146,14.50,-2.67,26.71,0
0,RobotControl(Clone)_-17146,15.00,-0.67,26.72,0
0,RobotControl(Clone)_-17146,15.50,8.39,26.65,0
0,RobotControl(Clone)_-17146,16.00,8.35,28.31,0
0,RobotControl(Clone)_-17146,16.50,13.88,31.38,1
0,RobotControl(Clone)_-17146,17.00,13.87,31.28,1
0,RobotControl(Clone)_-17146,17.50,14.32,33.02,1
0,RobotControl(Clone)_-17146,18.00,14.98,34.58,1
0,RobotControl(Clone)_-17146,18.50,16.43,37.59,1
0,RobotControl(Clone)_-17146,19.00,17.16,39.09,1
0,RobotControl(Clone)_-17146,19.50,18.64,42.08,1
0,RobotControl(Clone)_-17146,20.00,17.86,47.75,1
0,RobotControl(Clone)_-17146,20.50,18.10,50.37,1
0,RobotControl(Clone)_-17146,21.00,18.09,50.37,1
0,RobotControl(Clone)_-17146,21.50,19.31,51.51,1
0,RobotControl(Clone)_-17146,22.00,20.53,52.65,1
0,RobotControl(Clone)_-17146,22.50,22.96,54.93,1
0,RobotControl(Clone)_-17146,23.00,24.17,56.07,1
0,RobotControl(Clone)_-17146,23.50,25.87,57.67,1
0,RobotControl(Clone)_-17146,24.00,26.73,58.47,1
0,RobotControl(Clone)_-17146,24.50,25.10,56.95,1
0,RobotControl(Clone)_-17146,25.00,25.87,57.68,1
0,RobotControl(Clone)_-17146,25.50,28.30,59.96,1
0,RobotControl(Clone)_-17146,26.00,29.52,61.09,1
0,RobotControl(Clone)_-17146,26.50,31.95,63.37,1
0,RobotControl(Clone)_-17146,27.00,33.17,64.51,0
0,RobotControl(Clone)_-17146,27.50,35.10,65.82,0
0,RobotControl(Clone)_-17146,28.00,35.95,63.33,0
0,RobotControl(Clone)_-17146,28.50,37.01,61.54,0
0,RobotControl(Clone)_-17146,29.00,38.09,60.18,0
0,RobotControl(Clone)_-17146,29.50,39.58,58.78,0
0,RobotControl(Clone)_-17146,30.00,40.67,57.94,0
0,RobotControl(Clone)_-17146,30.50,38.95,56.86,0
0,RobotControl(Clone)_-17146,31.00,37.24,55.80,0
0,RobotControl(Clone)_-17146,31.50,33.83,53.70,0
0,RobotControl(Clone)_-17146,32.00,32.12,52.65,0
0,RobotControl(Clone)_-17146,32.50,28.71,50.56,0
0,RobotControl(Clone)_-17146,33.00,27.01,49.51,0
0,RobotControl(Clone)_-17146,33.50,23.60,47.42,0
0,RobotControl(Clone)_-17146,34.00,20.30,40.84,0
0,RobotControl(Clone)_-17146,34.50,19.18,38.76,0
0,RobotControl(Clone)_-17146,35.00,17.47,37.72,0
0,RobotControl(Clone)_-17146,35.50,14.14,35.50,0
0,RobotControl(Clone)_-17146,36.00,12.49,34.38,0
0,RobotControl(Clone)_-17146,36.50,4.21,35.54,1
0,RobotControl(Clone)_-17146,37.00,4.25,34.47,1
0,RobotControl(Clone)_-17146,37.50,4.21,30.46,1
0,RobotControl(Clone)_-17146,38.00,-0.54,26.75,1
0,RobotControl(Clone)_-17146,38.50,-2.56,25.70,1
0,RobotControl(Clone)_-17146,39.00,-0.73,24.88,1
0,RobotControl(Clone)_-17146,39.50,1.08,24.01,1
0,RobotControl(Clone)_-17146,40.00,1.08,24.01,1
0,RobotControl(Clone)_-17146,40.50,6.96,25.92,1
0,RobotControl(Clone)_-17146,41.00,8.37,25.75,1
0,RobotControl(Clone)_-17146,41.50,6.56,25.67,1
0,RobotControl(Clone)_-17146,42.00,6.74,27.31,1
0,RobotControl(Clone)_-17146,42.50,12.38,31.75,1
0,RobotControl(Clone)_-17146,43.00,14.03,31.75,1
0,RobotControl(Clone)_-17146,43.50,12.31,31.75,1
0,RobotControl(Clone)_-17146,44.00,11.14,31.75,1
0,RobotControl(Clone)_-17146,44.50,5.63,31.75,1
0,RobotControl(Clone)_-17146,45.00,6.28,32.27,1
0,RobotControl(Clone)_-17146,45.50,14.04,32.54,1
0,RobotControl(Clone)_-17146,46.00,14.92,33.96,1
0,RobotControl(Clone)_-17146,46.50,12.86,33.82,1
0,RobotControl(Clone)_-17146,47.00,13.39,35.03,1
0,RobotControl(Clone)_-17146,47.50,15.22,37.82,1
0,RobotControl(Clone)_-17146,48.00,16.14,39.21,1
0,RobotControl(Clone)_-17146,48.50,18.00,41.97,1
0,RobotControl(Clone)_-17146,49.00,17.88,47.85,1
0,RobotControl(Clone)_-17146,49.50,18.18,50.51,1
0,RobotControl(Clone)_-17146,50.00,18.79,49.57,1
0,RobotControl(Clone)_-17146,50.50,19.18,47.27,1
0,RobotControl(Clone)_-17146,51.00,19.28,46.11,1
0,RobotControl(Clone)_-17146,51.50,21.24,48.32,1
0,RobotControl(Clone)_-17146,52.00,22.27,49.63,1
