Episode,Time,AgentType,AgentId,X,Z,Health,HumanState,DirectLeaderId,TopLevelLeaderId,DirectFollowerCount
0,0.00,Robot,RobotControl(Clone)_-17146,-21.900,26.250,,,,,0
0,0.00,Robot,RobotControl(Clone)_-17164,37.500,67.500,,,,,0
0,0.00,Robot,RobotControl(Clone)_-17182,96.900,26.250,,,,,0
0,0.00,Human,HumanControl(Clone)_-16346,-0.900,7.500,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16362,-9.900,26.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16378,-0.900,45.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16394,36.000,56.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16410,6.300,26.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16426,72.900,45.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16442,81.900,26.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16458,72.900,10.500,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16474,72.900,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16490,19.800,32.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16506,36.000,33.750,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16522,52.200,27.750,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16538,19.800,15.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16554,36.000,16.500,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16570,11.700,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16586,17.100,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16602,23.400,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16618,31.500,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16634,38.700,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16650,44.100,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16666,49.500,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16682,57.600,3.000,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16698,36.000,8.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16714,65.700,26.250,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16730,34.132,37.065,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16746,32.361,2.681,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16762,16.345,12.799,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16778,0.849,4.007,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16794,17.267,15.254,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16810,73.497,9.479,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16826,44.128,9.013,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16842,37.511,19.144,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16858,48.697,24.711,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16874,34.825,33.748,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16890,-1.632,43.434,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16906,-0.549,41.921,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16922,26.067,57.801,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16938,24.987,51.007,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16954,-2.341,10.445,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16970,36.447,14.078,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-16986,43.407,1.625,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17002,64.749,34.285,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17018,44.317,4.220,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17034,-14.844,29.496,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17050,35.270,59.792,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17066,43.095,61.455,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17082,-10.593,30.342,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17098,44.718,1.885,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17114,18.803,33.482,0.000,0,,,
0,0.00,Human,HumanControl(Clone)_-17130,30.147,7.534,0.000,0,,,
0,0.50,Robot,RobotControl(Clone)_-17146,-21.900,26.250,,,,,1
0,0.50,Robot,RobotControl(Clone)_-17164,37.500,66.900,,,,,1
0,0.50,Robot,RobotControl(Clone)_-17182,94.800,26.250,,,,,0
0,0.50,Human,HumanControl(Clone)_-16346,-0.900,7.500,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16362,-9.900,26.250,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16378,-0.900,45.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16394,36.000,56.250,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16410,6.300,26.250,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16426,72.900,45.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16442,81.900,26.250,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16458,72.900,10.500,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16474,72.900,3.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16490,19.800,32.250,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16506,36.000,33.750,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16522,52.200,27.750,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16538,19.800,15.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16554,36.000,16.500,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16570,11.700,3.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16586,17.100,3.000,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16602,23.400,3.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16618,31.460,3.015,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16634,38.700,3.000,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16650,44.100,3.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16666,49.500,3.000,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16682,57.600,3.000,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16698,36.000,8.250,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16714,65.700,26.250,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16730,34.132,37.065,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16746,32.436,2.653,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16762,16.345,12.799,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16778,0.849,4.007,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16794,17.267,15.254,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16810,73.497,9.479,100.000,1,,,
0,0.50,Human,HumanControl(Clone)_-16826,44.128,9.013,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16842,37.511,19.144,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16858,48.697,24.711,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16874,34.825,33.748,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16890,-1.632,43.434,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16906,-0.549,41.921,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16922,26.067,57.801,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16938,24.987,51.007,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16954,-2.341,10.445,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16970,36.447,14.078,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-16986,43.407,1.625,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17002,64.749,34.285,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17018,44.317,4.220,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17034,-14.844,29.496,100.000,1,RobotControl(Clone)_-17146,,
0,0.50,Human,HumanControl(Clone)_-17050,35.270,59.792,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17066,43.095,61.455,100.000,1,RobotControl(Clone)_-17164,,
0,0.50,Human,HumanControl(Clone)_-17082,-10.593,30.342,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17098,44.718,1.885,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17114,18.803,33.482,100.000,0,,,
0,0.50,Human,HumanControl(Clone)_-17130,30.147,7.534,100.000,0,,,
0,1.00,Robot,RobotControl(Clone)_-17146,-21.900,26.250,,,,,1
0,1.00,Robot,RobotControl(Clone)_-17164,36.928,64.699,,,,,1
0,1.00,Robot,RobotControl(Clone)_-17182,94.512,26.250,,,,,0
0,1.00,Human,HumanControl(Clone)_-16346,0.426,7.635,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16362,-9.900,26.250,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16378,-0.900,45.000,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16394,36.000,56.250,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16410,6.300,26.250,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16426,72.900,45.000,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16442,81.900,26.250,99.808,1,,,
0,1.00,Human,HumanControl(Clone)_-16458,72.900,10.500,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16474,72.900,3.000,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16490,19.800,32.250,99.808,0,,,
0,1.00,Human,HumanControl(Clone)_-16506,36.000,33.750,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16522,52.200,27.750,99.808,0,,,
0,1.00,Human,HumanControl(Clone)_-16538,19.800,15.000,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16554,36.000,16.500,99.378,1,,,
0,1.00,Human,HumanControl(Clone)_-16570,11.700,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16586,17.100,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16602,23.400,3.000,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16618,31.428,3.028,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16634,38.700,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16650,44.100,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16666,49.500,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16682,57.600,3.000,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16698,36.000,8.250,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16714,65.700,26.250,99.808,1,,,
0,1.00,Human,HumanControl(Clone)_-16730,34.132,37.065,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16746,32.538,2.614,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16762,16.345,12.799,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16778,0.849,4.007,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16794,17.267,15.254,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16810,73.497,9.479,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16826,44.128,9.013,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16842,37.511,19.144,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16858,48.697,24.711,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16874,34.825,33.748,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16890,-1.632,43.434,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-16906,-0.549,41.921,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16922,26.067,57.801,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16938,24.987,51.007,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16954,-2.341,10.445,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-16970,36.447,14.078,99.563,0,,,
0,1.00,Human,HumanControl(Clone)_-16986,43.407,1.625,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17002,64.749,34.285,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17018,44.317,4.220,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17034,-14.844,29.496,100.000,1,RobotControl(Clone)_-17146,,
0,1.00,Human,HumanControl(Clone)_-17050,35.270,59.792,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17066,43.095,61.455,100.000,1,RobotControl(Clone)_-17164,,
0,1.00,Human,HumanControl(Clone)_-17082,-10.593,30.342,100.000,1,,,
0,1.00,Human,HumanControl(Clone)_-17098,44.718,1.885,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17114,18.803,33.482,100.000,0,,,
0,1.00,Human,HumanControl(Clone)_-17130,30.147,7.534,100.000,0,,,
0,1.50,Robot,RobotControl(Clone)_-17146,-21.900,26.250,,,,,1
0,1.50,Robot,RobotControl(Clone)_-17164,36.201,62.291,,,,,2
0,1.50,Robot,RobotControl(Clone)_-17182,94.662,26.250,,,,,0
0,1.50,Human,HumanControl(Clone)_-16346,6.196,7.871,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16362,-9.900,26.250,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16378,-0.900,45.000,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16394,38.160,54.687,100.000,0,RobotControl(Clone)_-17164,,
0,1.50,Human,HumanControl(Clone)_-16410,6.300,26.250,99.808,1,,,
0,1.50,Human,HumanControl(Clone)_-16426,71.574,44.865,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16442,81.900,26.250,99.408,1,,,
0,1.50,Human,HumanControl(Clone)_-16458,71.574,10.635,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16474,72.900,3.000,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16490,19.800,32.250,98.314,0,,,
0,1.50,Human,HumanControl(Clone)_-16506,36.000,33.750,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16522,52.200,27.750,99.405,0,,,
0,1.50,Human,HumanControl(Clone)_-16538,19.800,15.000,100.000,1,,,
0,1.50,Human,HumanControl(Clone)_-16554,36.000,16.500,97.084,1,,,
0,1.50,Human,HumanControl(Clone)_-16570,11.700,3.000,100.000,1,,,
0,1.50,Human,HumanControl(Clone)_-16586,17.100,3.000,100.000,1,,,
0,1.50,Human,HumanControl(Clone)_-16602,23.400,3.000,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16618,31.413,3.034,100.000,0,,,
0,1.50,Human,HumanControl(Clone)_-16634,38.700,3.000,100.000,1,,,
